crash_date,news_date,headline
2021-03-18,2021-03-15,2021 NCAA women's basketball tournament bracket revealed
2021-03-18,2021-03-15,Exchange Rates History for 15 March 2021 (15/03/2021)
2021-03-18,2021-03-16,US Dollar Exchange Rates for 16/03/2021 (16 March 2021)
2021-03-18,2021-03-16,Murder Rate Remains Elevated as New Crime Reporting System Begins (Published 2021) - The New York Times
2021-03-18,2021-03-16,Many in U.S. face mental health issues as COVID-19 enters year two - Pew Research Center
2021-03-18,2021-03-16,First day of spring 2021: When is the spring equinox? Other facts about the start of spring.
2021-03-18,2021-03-16,Who is in the Sweet 16? A look at remaining 2021 NCAA Tournament teams - IndyStar
2021-03-18,2021-03-17,US Dollar Exchange Rates for 17/03/2021 (17 March 2021)
2021-03-18,2021-03-17,2021 could finally be the moment for the Equal Rights Amendment
2021-03-18,2021-03-17,2021 marks numerous pivotal anniversaries - UPI.com
2021-03-18,2021-03-17,IRS delays tax-filing deadline until May 17 - POLITICO
2021-03-18,2021-03-17,Income Tax Due Date Goes To May 17 - Forbes
2021-03-18,2021-03-17,Business in Brief: 03/17/2021 | Business | record-eagle.com
2021-03-18,2021-03-17,Exchange Rates History for 17 March 2021 (17/03/2021)
2021-03-18,2021-03-18,US Dollar Exchange Rates for 18/03/2021 (18 March 2021)
2021-03-18,2021-03-18,"CNN 10 - March 19, 2021"
2021-03-18,2021-03-18,Stimulus check status 2021: IRS tool to get COVID-19-payment updates - USA TODAY
2021-03-18,2021-03-18,"Stimulus check, IRS tax refund questions: How to check the status - USA TODAY"
2021-03-18,2021-03-18,SI's 2021 March Madness Expert Picks and Predictions
2021-05-10,2021-05-04,Exchange Rates History for 5 April 2021 (05/04/2021)
2021-05-10,2021-05-04,05-04-2021 Daily Edition - The Hollywood Reporter
2021-05-10,2021-05-04,2021 Southwest Florida Wine & Food Fest raises more than $1.2 million - Naples Daily News
2021-05-10,2021-05-04,Senate official gives Democrats way to bypass filibuster on some bills - USA TODAY
2021-05-10,2021-05-04,British Pound Exchange Rates for 05/04/2021 ( 5 April 2021)
2021-05-10,2021-05-05,US Dollar Exchange Rates for 05/05/2021 ( 5 May 2021)
2021-05-10,2021-05-05,"Anti-Asian hate crimes surged in early 2021, study says - CNN"
2021-05-10,2021-05-05,Exchange Rates History for 5 May 2021 (05/05/2021)
2021-05-10,2021-05-06,Arrest made in 2021 killing of 18-year-old found at East Anchorage baseball fields
2021-05-10,2021-05-06,Tyzir Hall faces long prison term for 2021 murder of Shaheed Little - CourierPostOnline.com
2021-05-10,2021-05-08,Former NFL player Kevin Ware Jr. sentenced to 30 years for the 2021 murder of ex-girlfriend - TheGrio
2021-05-10,2021-05-08,"Ex-NFL player Kevin Ware Jr. sentenced to 30 years for murdering girlfriend Taylor Pomaski, burning her corpse - New York Post"
2021-05-10,2021-05-09,When Is The Next Full Moon? 3 Reasons Why May 2021’s ‘Super Flower Blood Moon’ Eclipse Will Be A Very Big Deal - Forbes
2021-05-10,2021-05-09,2021 NCAA DI women’s lacrosse championship bracket announced
2021-05-10,2021-05-10,US Dollar Exchange Rates for 05/10/2021 ( 5 October 2021)
2021-06-03,2021-05-28,DNA evidence leads to arrests in Missouri man's 2021 murder
2021-06-03,2021-05-28,Oil Companies Are Sued Over Death of Woman in 2021 Heat Wave
2021-06-03,2021-05-28,Parents guilty of starving son to death in 2021 sentenced to prison - Treasure Coast News
2021-06-03,2021-05-28,"Wilmington, NC, man found guilty of 2021 murders"
2021-06-03,2021-05-28,Portland man who went on vehicle rampage in 2021 committed to Oregon State Hospital - KPTV
2021-06-03,2021-05-29,Oil Companies Are Sued Over Death of Woman in 2021 Heat Wave
2021-06-03,2021-05-29,Wrongful death lawsuit says Big Oil contributed to heat wave and woman’s death
2021-06-03,2021-05-29,Parents guilty of starving son to death in 2021 sentenced to prison - Treasure Coast News
2021-06-03,2021-05-29,Firefighters burn house where woman died of drug overdose in 2021
2021-06-03,2021-05-29,"Wilmington, NC, man found guilty of 2021 murders"
2021-06-03,2021-05-29,"Chicago man gets 50 years for kidnapping 3 drivers, sexually assaulting 2 in 2021"
2021-06-03,2021-05-29,Ben Griffin leads Memorial: 3 things to know about first-round standout - The Columbus Dispatch
2021-06-03,2021-05-30,Former NFL player Kevin Ware Jr. sentenced to 30 years for the 2021 murder of ex-girlfriend - TheGrio
2021-06-03,2021-05-31,Pentagon Chief Orders 'Comprehensive Review' Into 2021 US Afghanistan Withdrawal - U.S. News & World Report
2021-06-03,2021-06-01,US Dollar to Euro History: 2021 - Exchange Rates UK
2021-06-03,2021-06-01,Olympics 2021: In-depth look at when Summer Olympics kick off in Tokyo - USA TODAY
2021-06-03,2021-06-01,2021 Atlantic Hurricane Season's Storm Names - NPR
2021-06-03,2021-06-01,What Happened at the Capitol Yesterday - The New York Times
2021-06-03,2021-06-01,Amazon’s Stock To Continue Rallying? - Forbes
2021-06-03,2021-06-01,"January 6, 2021 Was Not an Insurrection - Reason.com"
2021-06-03,2021-06-02,Adventureland 2021 death lawsuit trial will begin Monday - The Des Moines Register
2021-06-03,2021-06-02,CNN parts ways with correspondent whose story led to defamation lawsuit
2021-11-09,2021-11-03,US Dollar Exchange Rates for 11/03/2021 (11 March 2021)
2021-11-09,2021-11-03,Stimulus check 2021: Can I get a payment for a dead spouse or relative - USA TODAY
2021-11-09,2021-11-03,"Mississippi governor signs bill banning transgender students from women’s sports, approving first anti-trans law of 2021 | CNN Politics"
2021-11-09,2021-11-04,US Dollar Exchange Rates for 11/04/2021 (11 April 2021)
2021-11-09,2021-11-04,"Amid the pandemic, a rising share of older U.S. adults are now retired - Pew Research Center"
2021-11-09,2021-11-04,"Sexually transmitted infections jumped by 7% in 2021, according to the CDC - CNN"
2021-11-09,2021-11-04,Study shows dramatic decline in effectiveness of all three COVID-19 vaccines over time - Los Angeles Times
2021-11-09,2021-11-04,DOJ error highlights Jan. 6 mystery: Where was Kamala Harris during the attack? - POLITICO
2021-11-09,2021-11-04,"Tracking conference tournament schedules, auto bids for the 2021 NCAA women's soccer championship"
2021-11-09,2021-11-04,Climate change report: Earth has 11 years to avoid the worst scenarios - NPR
2021-11-09,2021-11-04,2021 Lake-Geauga Fast Track 50 awards ceremony honors fastest-growing businesses - News-Herald
2021-11-09,2021-11-04,Exchange Rates History for 11 April 2021 (11/04/2021)
2021-11-09,2021-11-05,US Dollar Exchange Rates for 11/05/2021 (11 May 2021)
2021-11-09,2021-11-05,05-11-2021 Daily Edition - The Hollywood Reporter
2021-11-09,2021-11-05,Ahmaud Arbery trial: Officer who responded to shooting testifies what he saw when he arrived on scene - CNN
2021-11-09,2021-11-06,Colombian Peso Exchange Rates for 11/06/2021 (11 June 2021)
2021-11-09,2021-11-06,Canadian Dollar Exchange Rates for 11/06/2021 (11 June 2021)
2021-11-09,2021-11-06,06-11-2021 Daily Edition - The Hollywood Reporter
2021-11-09,2021-11-07,Kyle Larson wins 2021 NASCAR Cup Series championship | NASCAR
2021-11-09,2021-11-07,"Nicaragua may be holding presidential elections, but it is edging toward dictatorship : NPR"
2021-11-09,2021-11-07,Prison or Exile: Cuba’s Systematic Repression of July 2021 Demonstrators | HRW - Human Rights Watch
2021-11-09,2021-11-08,Exchange Rates History for 11 August 2021 (11/08/2021)
2021-11-09,2021-11-08,Perseid meteor shower 2021: How to view the celestial event - CNN
2021-11-09,2021-11-08,Powerball results for 11/08/21; jackpot worth $150 million
2021-11-09,2021-11-08,US Dollar Exchange Rates for 11/08/2021 (11 August 2021)
2021-11-09,2021-11-09,Exchange Rates History for 11 September 2021 (11/09/2021)
2021-11-09,2021-11-09,"November 10, 2021 - CNN"
2021-11-09,2021-11-09,Weather disasters in 2021 cause most US deaths since Hurricane Maria - USA TODAY
2021-11-09,2021-11-09,9/11 photographers reveal behind-the-scenes horror of iconic images - New York Post
2021-11-09,2021-11-09,2021 Veterans Day discounts & deals - News4JAX
2021-11-09,2021-11-09,Bedtime between 10 p.m. and 11 p.m. could lower risk of cardiovascular disease - The Washington Post
2021-11-09,2021-11-09,11. Progressive Left - Pew Research Center
2021-11-09,2021-11-09,Majority of single men care less about sex now than pre-COVID: Study - New York Post
2021-11-09,2021-11-09,The Democratic Coalition among the U.S. electorate - Pew Research Center
2021-11-09,2021-11-09,US Dollar Exchange Rates for 11/09/2021 (11 September 2021)
2021-11-09,2021-11-09,"CNN 10 - November 10, 2021 | CNN - CNN International"
2021-11-09,2021-11-09,"November 10, 2021 - CNN"
2021-12-03,2021-11-27,"Powerball lottery: Did you win Saturday’s $243M Powerball drawing? Winning numbers, live results (11/27/2021) - nj.com"
2021-12-03,2021-11-27,"Powerball winning numbers for Saturday, Nov. 27, 2021 - Bergen Record"
2021-12-03,2021-11-27,Adele’s ‘30’ becomes 2021’s fastest-selling album in both the US and UK - CNN
2021-12-03,2021-11-27,"Alabama football vs. Auburn in Iron Bowl 2021: Video highlights, score - The Tuscaloosa News"
2021-12-03,2021-11-27,Billboard Hot 100™
2021-12-03,2021-11-27,How anti-Trump conservatives have fled Fox News | CNN Politics
2021-12-03,2021-11-27,Meet the 2021-22 Nuggets: A breakdown of the complete team roster
2021-12-03,2021-11-27,"2021 Ohio State football schedule: Dates, times, TV channels, results"
2021-12-03,2021-11-28,US Dollar Exchange Rates for 28/11/2021 (28 November 2021)
2021-12-03,2021-11-28,Hanukkah Lights 2021 - NPR
2021-12-03,2021-11-28,"NASCAR TV schedule: Week of Nov. 29-Dec. 5, 2021"
2021-12-03,2021-11-28,Hurricane season 2021 ends with three Florida storm landfalls - Palm Beach Post
2021-12-03,2021-11-29,US Dollar Exchange Rates for 29/11/2021 (29 November 2021)
2021-12-03,2021-11-29,Merriam-Webster's 2021 word of the year is 'vaccine' : NPR
2021-12-03,2021-11-29,"Powerball lottery: Did you win Monday’s $253M Powerball drawing? Winning numbers, live results (11/29/2021)"
2021-12-03,2021-11-29,Opioid crisis: The story of a fentanyl victim - CNN
2021-12-03,2021-11-29,Soul Train Awards 2021: The winners list | CNN
2021-12-03,2021-11-29,Forbes Announces Year-To-Date 2021 Financial Results
2021-12-03,2021-11-29,"Gulf Coast was a magnet for storms, hurricanes in 2021 - Tallahassee Democrat"
2021-12-03,2021-11-29,Exchange Rates History for 29 November 2021 (29/11/2021)
2021-12-03,2021-11-30,"2021 Atlantic hurricane season is third most active ever, with 21 named storms - NPR"
2021-12-03,2021-11-30,The 2021 Atlantic hurricane season was the third most active on record - The Washington Post
2021-12-03,2021-11-30,Devastating 2021 Hurricane Season Ends—Here’s The Toll It Took - Forbes
2021-12-03,2021-11-30,"2021 hurricane season ends: Lots of storms, a slow finish - USA TODAY"
2021-12-03,2021-11-30,2021 hurricane season draws to a close - KSLA News 12
2021-12-03,2021-11-30,US Dollar Exchange Rates for 30/11/2021 (30 November 2021)
2021-12-03,2021-12-01,Indian Rupee to US Dollar History: 2021 - Exchange Rates UK
2021-12-03,2021-12-01,"Did You Inherit An IRA In 2021? You May Need To Act Before Dec. 31, 2021, To Avoid Hefty (50%) Penalties"
2021-12-03,2021-12-01,Canadian Dollar to US Dollar History: 2021 - Exchange Rates UK
2021-12-03,2021-12-02,"Palindrome, ambigram alert: Dec. 2, 2021, is a doubly rare date - USA TODAY"
2021-12-03,2021-12-02,US Dollar Exchange Rates for 12/02/2021 (12 February 2021)
2021-12-03,2021-12-02,12.02.2021: Palindrome date of the year - India TV News
2021-12-03,2021-12-02,Best songs of 2021: NPR Music ranks its top 100 : NPR
2021-12-03,2021-12-02,Six Myths Surrounding The 2021 Employee Retention Tax Credit - Forbes
2021-12-03,2021-12-02,"Most Popular Music Of 2021: Dua Lipa, Drake Top Billboard’s Year-End Lists - Forbes"
2021-12-03,2021-12-02,Best Albums of 2021 - The New York Times
2021-12-03,2021-12-02,Exchange Rates History for 12 February 2021 (12/02/2021)
2021-12-03,2021-12-03,Exchange Rates History for 12 March 2021 (12/03/2021)
2021-12-03,2021-12-03,Phys.org | Archive : 12/03/2021
2021-12-03,2021-12-03,Our Most Popular Recipes of 2021 - The New York Times
2021-12-03,2021-12-03,The lower 48 states are lacking in snow but Hawaii has a blizzard warning with 100 mph winds - CNN
2021-12-03,2021-12-03,Best Theater of 2021 - The New York Times
2021-12-03,2021-12-03,2021 on track to be South Carolina’s deadliest year on roadways - Live 5 News
2021-12-03,2021-12-03,US Dollar Exchange Rates for 12/03/2021 (12 March 2021)
2021-12-09,2021-12-03,Exchange Rates History for 12 March 2021 (12/03/2021)
2021-12-09,2021-12-03,Phys.org | Archive : 12/03/2021
2021-12-09,2021-12-03,Our Most Popular Recipes of 2021 - The New York Times
2021-12-09,2021-12-03,The lower 48 states are lacking in snow but Hawaii has a blizzard warning with 100 mph winds - CNN
2021-12-09,2021-12-03,Best Theater of 2021 - The New York Times
2021-12-09,2021-12-03,2021 on track to be South Carolina’s deadliest year on roadways - Live 5 News
2021-12-09,2021-12-03,US Dollar Exchange Rates for 12/03/2021 (12 March 2021)
2021-12-09,2021-12-04,Exchange Rates History for 12 April 2021 (12/04/2021)
2021-12-09,2021-12-04,"2021 Brought A Tidal Wave Of NCAA Reform, Whether Wanted Or Not"
2021-12-09,2021-12-04,"USNI News Fleet and Marine Tracker: April 12, 2021"
2021-12-09,2021-12-04,Timeline of the Oxford High School shooting tragedy | CNN
2021-12-09,2021-12-04,"Powerball Numbers For 12/04/21, Saturday Jackpot was $278 Million"
2021-12-09,2021-12-04,5 Cryptocurrencies That Ran Circles Around Bitcoin in 2021
2021-12-09,2021-12-04,2021 WNBA Draft: Indiana Fever land No. 4 pick
2021-12-09,2021-12-04,US Dollar Exchange Rates for 12/04/2021 (12 April 2021)
2021-12-09,2021-12-05,2021 NFL schedule: Start times and TV channels for every game - Los Angeles Times
2021-12-09,2021-12-05,"2021 College Football Playoff selection show: Time, TV channel for final rankings - NCAA.com"
2021-12-09,2021-12-05,Rock and Roll Hall of Fame 2021 inductees are…. - CNN
2021-12-09,2021-12-06,Colombian Peso Exchange Rates for 12/06/2021 (12 June 2021)
2021-12-09,2021-12-06,2021’s Winners And Losers In Fintech And Banking - Forbes
2021-12-09,2021-12-06,2021 Kentucky Derby winner Medina Spirit dies after workout at Santa Anita - Los Angeles Times
2021-12-09,2021-12-06,Best Movies of 2021 - The New York Times
2021-12-09,2021-12-06,NASA introduces the new astronaut class of 2021 - CNN
2021-12-09,2021-12-06,Exchange Rates History for 12 June 2021 (12/06/2021)
2021-12-09,2021-12-07,US Dollar Exchange Rates for 12/07/2021 (12 July 2021)
2021-12-09,2021-12-07,2021 recap: Simone Biles taught us it's OK to not be OK - Los Angeles Times
2021-12-09,2021-12-07,Best Art Exhibitions of 2021 - The New York Times
2021-12-09,2021-12-07,Surgeon General advisory: Youth mental health crisis looms - Los Angeles Times
2021-12-09,2021-12-08,Exchange Rates History for 12 August 2021 (12/08/2021)
2021-12-09,2021-12-08,"Agencies Agree; 2021 Was A Record Year For Ad Spending, With More Growth Expected In 2022"
2021-12-09,2021-12-08,Here’s what people searched for on Google in 2021 - CNN
2021-12-09,2021-12-08,Dangerously unprepared | Hub
2021-12-09,2021-12-08,US Dollar Exchange Rates for 12/08/2021 (12 August 2021)
2021-12-09,2021-12-09,US Dollar Exchange Rates for 12/09/2021 (12 September 2021)
2021-12-09,2021-12-09,This year was rough. Tell us about a moment that made 2021 a little brighter | Here & Now - WBUR
2021-12-09,2021-12-09,VMA winners 2021: Complete list with nominees - New York Post
2021-12-09,2021-12-09,"December 10, 2021 - CNN"
2021-12-09,2021-12-09,The best video games of 2021 - The Washington Post
2021-12-09,2021-12-09,What has Biden accomplished (or not) in 2021? - NPR
2021-12-09,2021-12-09,Community digest 12/09/2021 – Wilkes-Barre Citizens' Voice
2021-12-09,2021-12-09,2021 Vision: The Road Ahead - benefitspro.com
2021-12-09,2021-12-09,Exchange Rates History for 12 September 2021 (12/09/2021)
2021-12-16,2021-12-10,US Dollar Exchange Rates for 12/10/2021 (12 October 2021)
2021-12-16,2021-12-10,"December 10, 2021 - CNN"
2021-12-16,2021-12-10,Our favorite cookbooks of 2021 - The Washington Post
2021-12-16,2021-12-10,The Top 10 Best Films Of 2021
2021-12-16,2021-12-11,Carolyn Hax: The most read columns of 2021 - The Washington Post
2021-12-16,2021-12-11,"November 12, 2021 - CNN 10"
2021-12-16,2021-12-12,Mexican Peso Exchange Rates for 12/12/2021 (12 December 2021)
2021-12-16,2021-12-12,"December 13, 2021 - CNN 10"
2021-12-16,2021-12-12,Jamaican Dollar Exchange Rates for 12/12/2021 (12 December 2021)
2021-12-16,2021-12-12,"Full transcript of ""Face the Nation"" on December 12, 2021"
2021-12-16,2021-12-13,Movies Coming Out on Christmas Day 2021 - Decider
2021-12-16,2021-12-13,US Dollar Exchange Rates for 13/12/2021 (13 December 2021)
2021-12-16,2021-12-13,"December 13, 2021 - CNN 10"
2021-12-16,2021-12-13,TikTok’s 2021 music recap says it’s getting even better at creating billion-listen megahits
2021-12-16,2021-12-13,Billionaire Elon Musk named Time’s Person of the Year for 2021
2021-12-16,2021-12-13,"December 13, 2021 - CNN 10"
2021-12-16,2021-12-14,US Dollar Exchange Rates for 14/12/2021 (14 December 2021)
2021-12-16,2021-12-14,2021 Was A Good Year For Music. Here’s Why 2022 Will Be Even Better
2021-12-16,2021-12-14,Fall All-Met 2021 - The Washington Post
2021-12-16,2021-12-14,"CNN 10 - December 14, 2021"
2021-12-16,2021-12-14,"Rolling Stones, Harry Styles Were Top-Grossing Tours Of 2021 - Forbes"
2021-12-16,2021-12-14,Euro Exchange Rates for 14/12/2021 (14 December 2021)
2021-12-16,2021-12-15,US Dollar Exchange Rates for 15/12/2021 (15 December 2021)
2021-12-16,2021-12-15,12-15-2021 Daily Edition - The Hollywood Reporter
2021-12-16,2021-12-15,2021 in Review: Highlights From Snopes.com
2021-12-16,2021-12-15,2021: The Year in Pictures - Los Angeles Times
2021-12-16,2021-12-15,"Powerball lottery: Did you win Wednesday’s $333M Powerball drawing? Winning numbers, live results (12/15/2021)"
2021-12-16,2021-12-15,"The best films of 2021, according to our critics | WBUR News"
2021-12-16,2021-12-15,Times Critics’ Top Books of 2021 - The New York Times
2021-12-16,2021-12-15,Exchange Rates History for 15 December 2021 (15/12/2021)
2021-12-16,2021-12-16,Exchange Rates History for 16 December 2021 (16/12/2021)
2021-12-16,2021-12-16,"What were the biggest stories in 2021: Insurrection, vaccines and more - USA TODAY"
2021-12-16,2021-12-16,Unprecedented Midwest wind storm caps 2021’s siege of extreme weather
2021-12-16,2021-12-16,Opinion: 40 op-eds that tell the story of 2021 | CNN
2021-12-16,2021-12-16,"Executions, death sentences in U.S. reach historic lows in 2021"
2021-12-16,2021-12-16,US Dollar Exchange Rates for 16/12/2021 (16 December 2021)
2022-01-05,2021-12-30,The events 'The Simpsons' predicted correctly in 2021 - New York Post
2022-01-05,2021-12-30,2021’s biggest US politics stories - CNN
2022-01-05,2021-12-30,4 numbers that explain the wild market in 2021 - CNN
2022-01-05,2021-12-30,Opinion | Worst things Biden did in 2021 - The Washington Post
2022-01-05,2021-12-30,USA TODAY bestselling book of 2021: See the 100 most popular reads
2022-01-05,2021-12-30,54 Predictions About The State Of Data In 2021 - Forbes
2022-01-05,2021-12-30,Exchange Rates History for 30 December 2021 (30/12/2021)
2022-01-05,2021-12-30,The economy roared back in 2021. Will that continue in 2022? | Here & Now - WBUR
2022-01-05,2021-12-30,US Dollar Exchange Rates for 30/12/2021 (30 December 2021)
2022-01-05,2021-12-31,2021: The Least Eventful Year For Marijuana
2022-01-05,2021-12-31,2021 review: What we learned this year and what to better in 2022 - USA TODAY
2022-01-05,2021-12-31,Exchange Rates History for 31 December 2021 (31/12/2021)
2022-01-05,2021-12-31,"2021 stock market recap: high risk, high reward - The Washington Post"
2022-01-05,2021-12-31,The Top 10 Best Films Of 2021
2022-01-05,2021-12-31,New Year’s Eve countdowns around the world - CNN
2022-01-05,2021-12-31,‘Please help me’: Kids with guns fueled a record number of school shootings in 2021 - The Washington Post
2022-01-05,2021-12-31,A Collection of Snopes Fact Checks About Betty White
2022-01-05,2021-12-31,The Conservative Partnership Institute’s 2021 Annual Filing With the I.R.S. (Published 2024) - The New York Times
2022-01-05,2021-12-31,Hungarian Forint Exchange Rates for 31/12/2021 (31 December 2021)
2022-01-05,2022-01-01,Canadian Dollar to US Dollar History: 2022 - Exchange Rates UK
2022-01-05,2022-01-01,Reasons to keep optimism alive for a healthier 2022 - NPR
2022-01-05,2022-01-01,"Powerball lottery: Did you win Saturday’s $500M Powerball drawing? Winning numbers, live results (01/01/2022)"
2022-01-05,2022-01-01,"22 Predictions For 2022, And Why This Is Malcolm Gladwell’s Tipping Point Year"
2022-01-05,2022-01-01,Democracy won 2022. Can it keep winning? - The Washington Post
2022-01-05,2022-01-01,Indian Rupee to US Dollar History: 2022 - Exchange Rates UK
2022-01-05,2022-01-02,Canadian Dollar to US Dollar History: 2022 - Exchange Rates UK
2022-01-05,2022-01-02,IRS Deposit Dates 2022: What dates are the IRS sending out refunds?
2022-01-05,2022-01-02,"Disinformation fueled 2021, and 2022 will likely see the same"
2022-01-05,2022-01-02,Chinese New Year predictions: What to expect in 2022
2022-01-05,2022-01-02,Japanese Yen to US Dollar History: 2022 - Exchange Rates UK
2022-01-05,2022-01-03,Canadian Dollar to US Dollar History: 2022 - Exchange Rates UK
2022-01-05,2022-01-03,Welcome to 2022. These are the issues we’re watching closely.
2022-01-05,2022-01-03,2022 kicks off with tech nomination do-overs - POLITICO
2022-01-05,2022-01-03,2022 Was Another Gloomy Year For Many Cable Networks
2022-01-05,2022-01-03,6 questions for politics in 2022 - NPR
2022-01-05,2022-01-03,Why I’m easing up on my news consumption - The Washington Post
2022-01-05,2022-01-03,2022: As The Hardware World Turns - Hackaday
2022-01-05,2022-01-03,2022 Year in Review - American Libraries Magazine
2022-01-05,2022-01-03,Indian Rupee to US Dollar History: 2022 - Exchange Rates UK
2022-01-05,2022-01-03,Welcome to 2022. These are the issues we’re watching closely.
2022-01-05,2022-01-04,Canadian Dollar to US Dollar History: 2022 - Exchange Rates UK
2022-01-05,2022-01-04,2022 Transfer Tax Update - Forbes
2022-01-05,2022-01-04,"The 22 Most Anticipated Streaming Movies of 2022, From ‘Knives Out 2’ To ‘Killers of the Flower Moon’ - Decider"
2022-01-05,2022-01-04,Supply Problems Hurt Auto Sales in 2022. Now Demand Is Weakening.
2022-01-05,2022-01-05,Canadian Dollar to US Dollar History: 2022 - Exchange Rates UK
2022-01-05,2022-01-05,2022 Career Predictions You Need To Know About - Forbes
2022-01-05,2022-01-05,"Powerball lottery: Did you win Wednesday’s $630M Powerball drawing? Winning numbers, live results (01/05/2022)"
2022-01-05,2022-01-05,Crypto losses in 2022 dropped 51% year on year to $4B
2022-01-05,2022-01-05,Jacksonville ends 2022 with 168 homicides for one of its worst years - Florida Times-Union
2022-01-05,2022-01-05,"Climate change: UK's 2022 was hottest year on record, says forecaster"
2022-01-05,2022-01-05,"U.S. new drug price exceeds $200,000 median in 2022 | Reuters"
2022-01-13,2022-01-07,Exchange Rates History for 1 July 2022 (01/07/2022)
2022-01-13,2022-01-07,How many mass killings were there in 2022? - USA TODAY
2022-01-13,2022-01-07,Why Netflix split up this season of ‘Stranger Things’
2022-01-13,2022-01-07,This Week in Apps: 2022 in review - TechCrunch
2022-01-13,2022-01-07,Understanding the Summer Air Travel Mess (Published 2022)
2022-01-13,2022-01-07,"The Best Films of 2022, So Far - The New York Times"
2022-01-13,2022-01-08,US Dollar Exchange Rates for 01/08/2022 ( 1 August 2022)
2022-01-13,2022-01-08,Evergrande has failed to deliver the debt restructuring plan it promised
2022-01-13,2022-01-08,What’s next for the US housing market | CNN Business
2022-01-13,2022-01-08,"Stock Market News Today Live: S&P 500, Dow Finish Lower to Start August - The Wall Street Journal"
2022-01-13,2022-01-08,"UPDATED: USNI News Fleet and Marine Tracker: Aug. 1, 2022"
2022-01-13,2022-01-09,Exchange Rates History for 1 September 2022 (01/09/2022)
2022-01-13,2022-01-09,"NFL playoff schedule: Super Bowl date, time, TV and postseason results - USA TODAY"
2022-01-13,2022-01-09,"2022 NFL playoffs: Brackets, seeds, schedules, TV times and more"
2022-01-13,2022-01-09,"2022 Georgia football schedule: Dates, times, TV channels, scores"
2022-01-13,2022-01-09,Predicting Every Game of the 2022 NFL Season - Sports Illustrated
2022-01-13,2022-01-09,Student test scores plunged during the pandemic - The Washington Post
2022-01-13,2022-01-09,US Dollar Exchange Rates for 01/09/2022 ( 1 September 2022)
2022-01-13,2022-01-10,Canadian Dollar to US Dollar History: 2022 - Exchange Rates UK
2022-01-13,2022-01-10,"January 10, 2022 - CNN"
2022-01-13,2022-01-10,Experts predict what the 2022 housing market will bring
2022-01-13,2022-01-10,2022 NOAA billion-dollar disasters: 474 deaths amid climate change - USA TODAY
2022-01-13,2022-01-10,Climate-fueled disasters cost U.S. $165 billion in 2022 : NPR
2022-01-13,2022-01-10,Japanese Yen to US Dollar History: 2022 - Exchange Rates UK
2022-01-13,2022-01-10,"CNN 10 - January 11, 2022"
2022-01-13,2022-01-11,Exchange Rates History for 1 November 2022 (01/11/2022)
2022-01-13,2022-01-11,"Mega Millions Numbers for 11/01/2022, Tuesday Jackpot Was $87 Million"
2022-01-13,2022-01-11,Midterm elections guide 2022: What you need to know : NPR
2022-01-13,2022-01-12,Exchange Rates History for 1 December 2022 (01/12/2022)
2022-01-13,2022-01-12,2022 was the warmest La Niña year on record. Scientists say this year will be warmer - CNN
2022-01-13,2022-01-12,Best TV Shows of 2022 - The New York Times
2022-01-13,2022-01-12,America’s Largest Private Companies 2022: Twitter And Continental Resources Join The Ranks - Forbes
2022-01-13,2022-01-12,Grading the 2022 season for each Pac-12 football team - The Mercury News
2022-01-13,2022-01-12,Crypto companies crash into bankruptcy | Reuters
2022-01-13,2022-01-12,More immigrants becoming U.S. citizens after decline early in COVID outbreak - Pew Research Center
2022-01-13,2022-01-13,Exchange Rates History for 13 January 2022 (13/01/2022)
2022-01-13,2022-01-13,The economy in 2022: From inflation to housing costs to gas prices - The Washington Post
2022-01-13,2022-01-13,"NOAA, NASA release 2022 climate change data on disasters, temperatures - USA TODAY"
2022-01-21,2022-01-15,US Dollar Exchange Rates for 15/01/2022 (15 January 2022)
2022-01-21,2022-01-15,Look Back At 2022 Box Office: Gains & Growing Pains - Deadline
2022-01-21,2022-01-16,"Russia's losses in Ukraine as of January 16: +1,480 troops, 120 drones, 40 artillery systems"
2022-01-21,2022-01-17,2022 global smartphone shipments were the lowest in nearly a decade
2022-01-21,2022-01-17,"Colorado snow totals for Nov. 17, 2022 - The Denver Post"
2022-01-21,2022-01-17,"Why the scary, funny, profane ‘FAFO’ was 2022’s word of the year"
2022-01-21,2022-01-17,"Saints at Eagles Week 17 Game Center - January 1, 2023 - New Orleans Saints"
2022-01-21,2022-01-18,Where Are Those New RMD Tables For 2022?
2022-01-21,2022-01-18,"How to start making art, even if you aren't feeling inspired - NPR"
2022-01-21,2022-01-19,2022 Global Supply Chains: Four Trends That Will Shape The Future - Forbes
2022-01-21,2022-01-19,US Dollar Exchange Rates for 19/01/2022 (19 January 2022)
2022-01-21,2022-01-19,Nasdaq enters correction territory as stocks close lower
2022-01-21,2022-01-19,01/19/2022 Evening Update: Bonus day today….now back to the Cold Stuff for a while. - NEWS10 ABC
2022-01-21,2022-01-19,Union membership hit record low in 2022 - The Washington Post
2022-01-21,2022-01-19,"2022 Fizzles Out, Optimism for 2023: New Skift Travel Health Index"
2022-01-21,2022-01-19,Exchange Rates History for 19 January 2022 (19/01/2022)
2022-01-21,2022-01-20,Anti-trans legislation: LGBTQ advocates worry 2022 could set new record - USA TODAY
2022-01-21,2022-01-20,US Dollar Exchange Rates for 20/01/2022 (20 January 2022)
